rating,draft_year,draft_round,draft_peak,height_cm,version_split,p_age,weight_kg,salary_usd,team_Lencoded,position_Lencoded
80,2010,1,9,200.99999999999997,2020,30,93.9,32700690.0,1,2
80,2011,1,24,191.0,2020,30,94.3,17799677.0,13,5
80,2011,1,3,208.0,2020,28,118.8,4767000.0,1,0
80,2013,1,2,202.99999999999997,2020,27,89.8,27250576.0,4,2
80,2006,1,11,191.0,2020,36,86.2,13486300.0,19,5
80,2015,2,40,196.0,2020,27,90.7,10116576.0,23,5
80,2014,1,14,202.99999999999997,2020,27,99.8,11060000.0,12,2
79,2019,1,2,191.0,2020,21,78.9,8730240.0,15,5
79,2017,1,14,206.0,2020,23,110.2,3454080.0,16,3
79,2017,1,22,211.0,2020,22,106.1,2376840.0,2,0
79,2017,1,2,198.0,2020,23,86.2,8719320.0,19,5
79,2012,1,7,202.99999999999997,2020,28,95.3,24147727.0,26,2
79,2009,2,42,185.0,2020,32,81.6,12345680.0,13,5
79,2016,1,3,198.0,2020,24,101.2,6534829.0,1,2
79,2015,1,6,213.0,2020,27,109.8,2177483.0,6,0
79,2008,2,45,191.0,2020,34,86.2,19217900.0,16,5
79,2018,1,11,196.0,2020,22,81.6,3952920.0,21,5
79,2014,1,19,193.0,2020,26,93.0,17839286.0,7,5
79,2009,0,0,200.99999999999997,2020,33,94.8,11454546.0,29,2
79,2012,1,12,196.0,2020,28,81.6,10500000.0,12,5
79,2008,1,10,213.0,2020,32,120.2,12093024.0,17,0
79,2008,1,18,213.0,2020,32,122.5,4000000.0,14,0
79,2018,2,36,213.0,2020,22,101.2,1559712.0,20,0
79,2012,1,8,198.0,2020,29,93.4,12500000.0,22,5
79,2011,1,4,206.0,2020,29,102.1,18539130.0,5,2
79,2006,2,35,196.0,2020,35,102.1,8349039.0,11,2
79,2006,0,0,185.0,2020,26,89.4,9346153.0,28,5
79,2014,1,1,200.99999999999997,2020,25,89.4,27504630.0,10,2
79,2007,1,12,202.99999999999997,2020,32,99.8,12900000.0,4,2
78,2019,1,3,198.0,2020,120,91.6,7839960.0,20,5
78,2009,1,5,191.0,2020,30,81.6,16200000.0,24,5
78,2012,2,40,196.0,2020,29,79.4,12776786.0,7,5
78,2014,1,27,198.0,2020,28,93.0,8529386.0,26,5
78,2017,2,42,208.0,2020,23,109.3,8000000.0,30,3
78,2018,1,7,206.0,2020,21,117.5,5201400.0,4,0
78,2014,2,46,193.0,2020,28,84.4,13437500.0,29,5
78,2012,1,20,200.99999999999997,2020,28,86.2,17150000.0,22,5
78,2008,1,7,191.0,2020,32,97.5,14057730.0,11,5
78,2012,0,0,202.99999999999997,2020,30,99.8,4767000.0,13,2
78,2014,2,33,198.0,2020,29,97.5,7666667.0,2,5
78,2004,1,9,198.0,2020,36,93.9,17185185.0,16,6
78,2016,1,20,198.0,2020,26,86.6,2625717.0,2,5
78,2011,1,14,202.99999999999997,2020,31,106.6,15000000.0,13,2
78,2016,1,29,193.0,2020,24,77.1,2321735.0,27,5
78,2015,1,27,200.99999999999997,2020,27,103.0,12727273.0,5,2
78,2013,1,13,211.0,2020,29,106.1,12667885.0,16,0
78,2015,1,15,200.99999999999997,2020,25,92.1,15625000.0,24,4
78,2014,1,2,202.99999999999997,2020,25,106.6,6500000.0,26,2
78,2015,1,22,208.0,2020,25,111.6,15000000.0,20,3
78,2015,1,16,185.0,2020,26,86.2,19894737.0,3,5
78,2013,1,17,185.0,2020,27,78.0,15500000.0,21,5
78,2009,1,19,191.0,2020,32,82.1,19000000.0,0,5
78,2017,1,29,193.0,2020,26,90.7,1948080.0,27,5
78,2015,1,10,198.0,2020,24,100.7,13000000.0,15,2
77,2019,1,5,185.0,2020,120,79.4,6400920.0,5,5
77,2019,1,4,200.99999999999997,2020,23,102.1,7068360.0,0,2
77,2010,1,8,202.99999999999997,2020,30,97.5,9258000.0,22,2
77,2018,1,6,213.0,2020,22,102.1,5697600.0,22,0
77,2008,1,25,206.0,2020,32,95.3,25565217.0,3,4
77,2016,1,19,193.0,2020,24,89.8,2731713.0,18,5
77,2010,2,35,208.0,2020,32,101.6,6825000.0,26,4
77,2009,1,27,198.0,2020,34,96.2,7339258.0,11,2
77,2010,1,13,206.0,2020,31,97.5,4767000.0,29,2
77,2009,1,26,206.0,2020,35,102.1,9000000.0,20,2
77,2014,2,39,202.99999999999997,2020,26,97.1,9346153.0,7,2
77,2009,2,46,198.0,2020,33,94.8,14634147.0,14,5
77,2013,1,24,196.0,2020,28,90.3,20025127.0,6,5
77,2013,1,5,213.0,2020,27,102.1,4160000.0,26,0
77,2015,1,30,206.0,2020,24,100.7,4464286.0,10,2
77,2017,2,51,188.0,2020,25,79.4,1588231.0,7,5
77,2013,1,6,208.0,2020,26,93.4,1882867.0,21,3
77,2013,1,22,211.0,2020,30,108.0,14041096.0,7,1
77,2016,1,9,216.0,2020,25,108.4,3754885.0,27,1
77,2014,2,45,208.0,2020,29,106.1,10259375.0,6,3
77,2016,1,12,200.99999999999997,2020,26,99.8,3481985.0,2,2
77,2014,1,12,208.0,2020,26,98.0,3481985.0,24,2
77,2018,1,8,185.0,2020,21,86.2,4764960.0,5,5
77,2017,1,9,188.0,2020,23,88.5,4463640.0,20,5
77,2013,1,4,213.0,2020,28,104.3,14471910.0,3,1
77,2016,2,32,213.0,2020,23,120.2,6481482.0,13,0
77,2019,1,6,198.0,2020,21,88.5,5813640.0,18,5
76,2015,2,35,211.0,2020,26,115.7,1676735.0,3,1
76,2004,2,43,202.99999999999997,2020,35,95.3,12200000.0,25,4
76,2008,1,9,180.0,2020,33,81.6,7250000.0,22,5
76,2006,0,0,178.0,2020,36,79.4,2564753.0,6,5
76,2008,1,2,208.0,2020,31,106.6,3500000.0,9,2
76,2011,2,42,208.0,2020,28,95.7,7000000.0,30,2
76,2010,1,19,191.0,2020,30,88.5,6767000.0,14,5
76,2018,1,12,198.0,2020,22,102.1,3755400.0,3,2
76,2018,2,33,185.0,2020,24,86.2,1416852.0,6,5
76,2013,1,8,196.0,2020,27,92.5,8089282.0,14,5
76,2012,2,34,198.0,2020,30,106.6,7815533.0,16,2
76,2013,0,0,213.0,2020,31,108.4,13333334.0,0,0
76,2013,1,21,208.0,2020,30,104.3,16229213.0,15,0
76,2005,1,18,198.0,2020,34,87.1,2564753.0,9,4
76,2007,1,5,202.99999999999997,2020,34,106.6,3405180.0,11,2
76,2014,1,23,202.99999999999997,2020,28,94.3,5718000.0,25,2
76,2018,1,19,200.99999999999997,2020,22,86.2,2636280.0,0,5
76,2005,2,36,206.0,2020,33,106.6,7000000.0,17,2
