rating,draft_year,draft_round,draft_peak,height_cm,version_split,p_age,weight_kg,salary_usd,team_Lencoded,position_Lencoded
69,2018,2,38,191.0,2020,24,95.3,1416852.0,8,5
69,2018,0,0,196.0,2020,25,99.8,1445697.0,20,5
69,2018,0,0,198.0,2020,26,102.1,1427191.0,22,2
69,2019,2,48,196.0,2020,24,97.5,1000000.0,13,5
69,2018,0,0,200.99999999999997,2020,25,102.1,79568.0,17,5
69,2016,2,60,196.0,2020,26,90.7,502491.0,9,6
69,2019,2,58,196.0,2020,23,95.3,898310.0,29,2
69,2015,0,0,200.99999999999997,2020,27,93.0,1588231.0,28,2
68,2018,2,39,202.99999999999997,2020,21,90.7,1416852.0,30,5
68,2017,2,43,213.0,2020,22,113.4,1416852.0,9,3
68,2014,2,58,196.0,2020,29,81.2,1254933.0,8,5
68,2018,0,0,183.0,2020,25,81.6,522738.0,0,5
68,2015,2,60,191.0,2020,26,90.7,79568.0,11,5
68,2018,0,0,208.0,2020,23,90.7,79568.0,14,2
68,2019,0,0,191.0,2020,120,86.2,898310.0,24,5
67,2018,0,0,200.99999999999997,2020,26,97.5,1416852.0,16,2
97,2003,1,1,206.0,2021,37,113.4,39219566.0,14,2
97,2013,1,15,211.0,2021,27,109.8,27528088.0,17,4
96,2011,1,15,200.99999999999997,2021,30,102.1,34379100.0,13,2
96,2009,1,3,196.0,2021,32,99.8,41254920.0,2,5
95,2009,1,7,191.0,2021,33,83.9,43006362.0,10,5
95,2007,1,2,208.0,2021,33,104.3,42018900.0,2,2
95,2012,1,1,208.0,2021,28,100.7,32742000.0,14,3
94,2018,1,3,200.99999999999997,2021,22,103.0,8049360.0,6,6
94,2012,1,6,188.0,2021,31,88.5,31626953.0,25,5
91,2014,1,3,213.0,2021,27,113.4,29542010.0,23,0
96,2009,1,7,191.0,2022,34,83.9,45780966.0,10,5
96,2007,1,2,208.0,2022,34,104.3,40918900.0,2,2
96,2003,1,1,206.0,2022,38,113.4,41180544.0,14,2
96,2013,1,15,211.0,2022,28,109.8,39344900.0,17,4
95,2014,2,41,213.0,2022,27,114.8,31044906.0,7,0
95,2014,1,3,213.0,2022,28,113.4,31579390.0,23,0
95,2011,1,15,200.99999999999997,2022,31,102.1,39344900.0,13,2
94,2018,1,3,200.99999999999997,2022,23,103.0,10174391.0,6,6
94,2012,1,6,188.0,2022,32,88.5,39344900.0,25,5
94,2009,1,3,196.0,2022,33,99.8,44310840.0,2,5
90,2010,1,10,202.99999999999997,2021,31,95.3,35450412.0,13,2
90,2014,2,41,213.0,2021,26,114.8,29542010.0,7,0
90,2011,1,1,188.0,2021,29,81.6,33722850.0,2,5
90,2015,1,1,211.0,2021,26,112.5,29467800.0,18,3
89,2011,1,11,198.0,2021,31,93.0,35361360.0,10,5
89,2011,1,30,200.99999999999997,2021,32,99.8,34379100.0,16,5
88,2018,1,5,185.0,2021,23,81.6,6571800.0,0,5
88,2008,1,4,191.0,2021,33,86.2,41358814.0,11,5
88,2016,1,27,206.0,2021,27,103.0,30559200.0,28,2
88,2017,1,13,185.0,2021,25,95.7,5195501.0,29,5
88,2005,1,4,185.0,2021,36,79.4,41358814.0,21,5
88,2012,1,3,191.0,2021,28,93.9,28751774.0,30,5
87,2013,1,27,216.0,2021,29,108.0,27525281.0,29,0
87,2006,1,24,183.0,2021,35,93.0,30500000.0,28,5
87,2015,1,4,221.0,2021,26,99.8,29467800.0,6,3
